congressID,congressNumber,congressName,congressType,congressStartDate,congressEndDate
ContinentalCongress_1,1,The 1st Continental Congress,ContinentalCongress,1774-09-05,1774-10-26
ContinentalCongress_2,2,The 2nd Continental Congress,ContinentalCongress,1775-05-10,1781-03-01
ConfederationCongress_1,1,The Confederation Congress,ConfederationCongress,1781-03-01,1789-03-02
USCongress_1,1,The 1st United States Congress,USCongress,1789-03-04,1791-03-03
USCongress_2,2,The 2nd United States Congress,USCongress,1791-03-04,1793-03-02
USCongress_3,3,The 3rd United States Congress,USCongress,1793-03-04,1795-03-03
USCongress_4,4,The 4th United States Congress,USCongress,1795-06-08,1797-03-03
USCongress_5,5,The 5th United States Congress,USCongress,1797-03-04,1799-03-03
USCongress_6,6,The 6th United States Congress,USCongress,1799-12-02,1801-03-03
USCongress_7,7,The 7th United States Congress,USCongress,1801-03-04,1803-03-03
USCongress_8,8,The 8th United States Congress,USCongress,1803-10-17,1805-03-03
USCongress_9,9,The 9th United States Congress,USCongress,1805-12-02,1807-03-03
USCongress_10,10,The 10th United States Congress,USCongress,1807-10-26,1809-03-03
USCongress_11,11,The 11th United States Congress,USCongress,1809-03-04,1811-03-03
USCongress_12,12,The 12th United States Congress,USCongress,1811-11-04,1813-03-03
USCongress_13,13,The 13th United States Congress,USCongress,1813-05-24,1815-03-03
USCongress_14,14,The 14th United States Congress,USCongress,1815-12-04,1817-03-03
USCongress_15,15,The 15th United States Congress,USCongress,1817-03-04,1819-03-03
USCongress_16,16,The 16th United States Congress,USCongress,1819-12-06,1821-03-03
USCongress_17,17,The 17th United States Congress,USCongress,1821-12-03,1823-03-03
USCongress_18,18,The 18th United States Congress,USCongress,1823-12-01,1825-03-03
USCongress_19,19,The 19th United States Congress,USCongress,1825-03-04,1827-03-03
USCongress_20,20,The 20th United States Congress,USCongress,1827-12-03,1829-03-03
USCongress_21,21,The 21st United States Congress,USCongress,1829-03-04,1831-03-03
USCongress_22,22,The 22nd United States Congress,USCongress,1831-12-05,1833-03-02
USCongress_23,23,The 23rd United States Congress,USCongress,1833-12-02,1835-03-03
USCongress_24,24,The 24th United States Congress,USCongress,1835-12-07,1837-03-03
USCongress_25,25,The 25th United States Congress,USCongress,1837-03-04,1839-03-03
USCongress_26,26,The 26th United States Congress,USCongress,1839-12-02,1841-03-03
USCongress_27,27,The 27th United States Congress,USCongress,1841-03-04,1843-03-03
USCongress_28,28,The 28th United States Congress,USCongress,1843-12-04,1845-03-03
USCongress_29,29,The 29th United States Congress,USCongress,1845-03-04,1847-03-03
USCongress_30,30,The 30th United States Congress,USCongress,1847-12-06,1849-03-03
USCongress_31,31,The 31st United States Congress,USCongress,1849-03-05,1851-03-03
USCongress_32,32,The 32nd United States Congress,USCongress,1851-03-04,1853-03-03
USCongress_33,33,The 33rd United States Congress,USCongress,1853-03-04,1855-03-03
USCongress_34,34,The 34th United States Congress,USCongress,1855-12-03,1857-03-03
USCongress_35,35,The 35th United States Congress,USCongress,1857-03-04,1859-03-03
USCongress_36,36,The 36th United States Congress,USCongress,1859-03-04,1861-03-03
USCongress_37,37,The 37th United States Congress,USCongress,1861-03-04,1863-03-03
USCongress_38,38,The 38th United States Congress,USCongress,1863-03-04,1865-03-04
USCongress_39,39,The 39th United States Congress,USCongress,1865-03-04,1867-03-03
USCongress_40,40,The 40th United States Congress,USCongress,1867-03-04,1869-03-03
USCongress_41,41,The 41st United States Congress,USCongress,1869-03-04,1871-03-03
USCongress_42,42,The 42nd United States Congress,USCongress,1871-03-04,1873-03-03
USCongress_43,43,The 43rd United States Congress,USCongress,1873-03-04,1875-03-03
USCongress_44,44,The 44th United States Congress,USCongress,1875-03-05,1877-03-04
USCongress_45,45,The 45th United States Congress,USCongress,1877-03-05,1879-03-03
USCongress_46,46,The 46th United States Congress,USCongress,1879-03-18,1881-03-03
USCongress_47,47,The 47th United States Congress,USCongress,1881-03-04,1883-03-03
USCongress_48,48,The 48th United States Congress,USCongress,1883-12-03,1885-03-04
USCongress_49,49,The 49th United States Congress,USCongress,1885-03-04,1887-03-03
USCongress_50,50,The 50th United States Congress,USCongress,1887-12-05,1889-03-04
USCongress_51,51,The 51st United States Congress,USCongress,1889-03-04,1891-03-03
USCongress_52,52,The 52nd United States Congress,USCongress,1891-12-07,1893-03-04
USCongress_53,53,The 53rd United States Congress,USCongress,1893-03-04,1895-03-04
USCongress_54,54,The 54th United States Congress,USCongress,1895-12-02,1897-03-03
USCongress_55,55,The 55th United States Congress,USCongress,1897-03-15,1899-03-04
USCongress_56,56,The 56th United States Congress,USCongress,1899-12-04,1901-03-03
USCongress_57,57,The 57th United States Congress,USCongress,1901-03-04,1903-03-03
USCongress_58,58,The 58th United States Congress,USCongress,1903-03-05,1905-03-04
USCongress_59,59,The 59th United States Congress,USCongress,1905-03-04,1907-03-04
USCongress_60,60,The 60th United States Congress,USCongress,1907-12-02,1909-03-04
USCongress_61,61,The 61st United States Congress,USCongress,1909-03-04,1911-03-04
